N,m,trial,nd_size,Naive_ms,MTF_ms,M3_ms
10000,3,4,60,3.582800000003772,0.20442999993974809,0.27092099992387375
10000,3,5,44,3.3665659999542186,0.17970599992622738,0.2251729999898089
10000,3,6,46,4.355332000045564,0.22210100007669098,0.23627799998848786
10000,3,7,46,3.545922000057544,0.1746069999626343,0.20135699992351874
10000,3,8,57,4.412182999999459,0.22852600000078382,0.2545070000223859
10000,3,9,60,5.067448999966473,0.2840509999941787,0.29732099994816963
10000,3,10,56,5.678504000002249,0.2689650000320398,0.29005699991557776
10000,3,11,38,3.681067999991683,0.1547719999734909,0.18550299989783525
10000,3,12,48,4.108925999958046,0.20366199998989032,0.22000499996011058
10000,3,13,48,3.734149000024445,0.18145100000310777,0.208410999903208
10000,3,14,39,3.4795009999015747,0.1593810000031226,0.21281199997247313
10000,3,15,41,4.327953000029083,0.20366100000046572,0.2793710000332794
10000,3,16,44,2.4259219999294146,0.14087299996390357,0.19709599996531324
10000,3,17,64,2.696143999969536,0.16664599991145224,0.2137189999302791
10000,3,18,71,3.9890059999834193,0.22426500004257832,0.25764999998045823
10000,3,19,39,3.018188999931226,0.14164200001687277,0.19926199991004978
10000,3,20,34,2.1001049999540555,0.12858100001267303,0.19632800001545547
10000,3,21,57,3.1717739999521655,0.2132999999275853,0.2292939999506416
10000,3,22,74,4.185402999951293,0.2634469999520661,0.3217660000700562
10000,3,23,46,3.46686000000318,0.19416300006014353,0.2146269999911965
10000,3,24,43,5.829156000004332,0.2651240000659527,0.29180299998188275
10000,3,25,74,3.624145999992834,0.1802640000505562,0.23097099995084136
10000,3,26,77,4.894378000017241,0.27161899993188854,0.3001850000146078
10000,3,27,39,3.6533410000174626,0.18843600003037864,0.20925000001170702
10000,3,28,73,5.298559000038949,0.3153410000322765,0.3686310000148296
10000,3,29,38,2.16869099995165,0.16727400009131088,0.17719200002375146
10,10,0,10,0.005657999963659677,0.004330000024310721,0.0038410000797739485
10,10,1,10,0.0032819999660205212,0.0032830000691319583,0.003353000010974938
10,10,2,10,0.003353000010974938,0.003353000010974938,0.002864000066438166
10,10,3,10,0.002793000021483749,0.0027940000109083485,0.003353000010974938
10,10,4,10,0.00481900008253433,0.0029330000188565464,0.003840999966087111
10,10,5,10,0.0032829999554451206,0.002864000066438166,0.003351999907863501
10,10,6,10,0.0034230000665047555,0.002862999963326729,0.0033520000215503387
10,10,7,10,0.0023049999526847387,0.001884999960566347,0.0032830000691319583
10,10,8,10,0.004749000027004513,0.0032819999660205212,0.0037720000136687304
10,10,9,10,0.0029340000082811457,0.003353000010974938,0.0028639999527513282
10,10,10,10,0.0029340000082811457,0.0037009999687143136,0.003353000010974938
